title,company,location,description,date_posted,date_scraped,salary,skills,remote
"Ruby on Rails Engineer - Rails,...",CyberCoders,"San Francisco, CA","Minimum Required Skills:JavaScript, Rails, REACT, Python, IOS, AndroidIf you are a Ruby on Rails Engineer with experience, please read on!Top Reasons to Work with UsWe are a San Francisco based company looking to make food delivery easier for consumers and businesses.  Our system offers a delivery solution without adding a new infrastructure of operational costsWhat You Will Be DoingYou will be working with product management and design teams. You will write code and tests.You will be building new features across our technical stack. You will also integrate our technology with third party APIs.What You Need for this PositionMore Than 5 Years of experience and knowledge of:Experience in or desire to learn Javascript, Rails, React, Python, iOS, and/or Android.A Computer Science or other technical degree.Our technical stacks are:-Ruby, Python, Java, Javascript, Objective-C, Swift-AWS, Docker, ElasticSearch-Postgres, MySQL, Redis-Rails, jQuery, DropWizard, RxJava, RxSwift, Typhoon, Ember.js, React, Sass-Scikit-Learn, OSRMSo, if you are a Software Engineer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:26 -0500,"","JavaScript, Rails, REACT, Python, IOS, Android - JavaScript, Rails, REACT, Python, IOS, Android","Unspecified - $70,000Telecommuting not available"
Ruby on Rails Engineer -,Avesta Computer Services,"San Francisco, CA","Title: Ruby on Rails Engineer Location: San Francisco, CA /  Duration: 12 Months /  Contract to hire  /FulltimePositions:  3  Required Skills:5-7 years of Ruby on Rails programming experienceEnthusiasm for agile development and pair programmingFamiliarity with front-end technologies (HTML, CSS, JavaScript, CoffeeScript)Practical understanding of object oriented programming and data structuresCommitment to excellence, teamwork, and the professional growth of their peers",Posted 9 hours ago,2017-10-19 09:01:27 -0500,"","Ruby on Rails, HTML, CSS, JavaScript",Depends On ExperienceTelecommuting not available
Fullstack Ruby on Rails Engineer,"Prairie Consulting Services, Inc","Lombard, IL","This position is avaiable with a growing marketing company that offers a dynamic, energetic and fun working environment. The team works hard and play harder in a casual office.  The team is focused on delivering measurable results. They pride themselves on diving in, headfirst, for their clients and working at a velocity that moves their business forward.  They work with some of the largest corporations and ad agencies in the world. You’ll be working platforms and applications that have national exposure. Education Level Bachelor’s Degree and/or Equivalent ExperienceExperienceMinimum 4 YearsThe company creates web-based software and live events solutions for some of the largest companies in the nation; working to deliver “best in class” marketing platforms to our clients.Must live in or around the Chicagoland area, and be able to work from our office in Lombard. (remote work not available).DescriptionThe Senior Developer will be responsible for the build out of several new platforms to support and enhance the existing infrastructure. These new applications will be built to accommodate our growing company by increasing bandwidth, efficiencies, and internal productivity.Duties and responsibilities: Build out of several new platforms to support and enhance our existing infrastructure. These applications will be built around existing processes to help increase bandwidth, efficiencies, and ultimately productivity. Will be responsible for implementation of these new projects and their deployment.Qualifications: Strong set of development skills. Strong set of communication skills. Able to work autonomously. Ruby on Rails / Ruby Strong set of front end skills; JavaScript, jQuery, bootstrap, etc. Be current/familiar with the popular web frameworks.Understand the ‘mobile first approach’ and a complete understanding of responsive design.DB: MySql / MongodbAt least 4+ year’s experience as a full stack engineer.  ",Posted 1 week ago,2017-10-19 09:01:29 -0500,"",Ruby on Rails Bootstrap JQuery Full Stack,NegotiableTelecommuting not available
Senior Ruby on Rails Engineer,Kforce Inc.,"Durham, NC","RESPONSIBILITIES:Kforce is immediately seeking a Senior Ruby on Rails Developer within the U.S. for a global, intelligent networking and software innovation client in Raleigh, North Carolina (NC).Role and Responsibilities:We are searching for a Senior Ruby on Rails Software Engineer to become part of the client's Security and Trust Organization. You will lead the development of a web-based service powered by Ruby on Rails that aims to deliver unprecedented transparency to our customers. The application leverages big data and analytic techniques to unveil security risk. As a software engineer, you will be responsible for designing and developing the web based service in a full-stack Ruby on Rails framework. You will partner with multiple client product teams to define user stories, develop solutions, and demonstrate your results. The Team The team consists of a diverse group of professionals that have a passion for software security. The team is driven to stay one step ahead of the rapidly evolving threat landscape and we have fun while doing it! We operate in a fast-paced, Agile, development environment. We leverage the simplicity of KANBAN and the power of continuous integration and deployment to accelerate our delivery of high quality software. We work closely with vendors, partners, and industry leaders to incorporate the latest digital analytic techniques into our product. The Business Entity The Security and Trust Organization has corporate-level responsibility for product security, customer data protection and corporate information protection. Join us and help us become the #1 Trusted IT Company in the World.REQUIREMENTS:* Requires BSCS, BSEE, or equivalent experience * Full stack Ruby on Rails experience (3+ years) * Linux (3+ years) * SQL (1+ years)* Ability to work cross-functionally and gain cooperation of others * Initiative, drive, ability to learn* Passion for software security* Applicants must be fully authorized to work in the U.S. without sponsorship  Desired Skills:* Familiarity with MariaDB on Linux * Understanding of modern software build tools and processes * Understanding of Open Source software models * Knowledge of agile software development practices * Linux Containers: Docker and Rancher * Ability to assist contractors in requirements interpretationKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",Posted 2 hours ago,2017-10-19 09:01:30 -0500,"","Application, Developer, Development, Engineer, IT, Linux, Networking, Quality, Security, Software, Software Engineer, SQL, Web",CompetitiveTelecommuting not available
Ruby on Rails Engineer (PERM),Avesta Computer Services,"San Francisco, CA","Our Client believes that home lending should be a fair, fast, and transparent experience. Client’s software is used by banks across the country to improve lending experiences every day.As a Ruby on Rails  Engineer you will design, develop, and test software solutions for Client’s Platform team.  The primary focus of this position will be development, deployment and support of the core components of our platform.RESPONSIBILITIES:Be responsible for designing and scoping development tasks.Develop elements of the overall software solution.Interact with other members of the engineering and product management team to ensure compatible implementation of the solution with the existing platform.Assume end-to-end responsibility, including deployment and oversight of the owned component in production.Influence the overall architecture and provide guidance to the junior team members.Handle escalations and effectively interact with customer support to resolve production issues.REQUIREMENTS:BS or MS (preferable) in Computer Science or equivalent5+ years' experience in software design and development.Programming experience with Ruby on Rails.Familiarity with front-end technologies (HTML, CSS, JS, etc.).Experience with Javascript frameworks such as React/Angular/Vue.Database programming experience, Postgres/MySQL preferredExtensive knowledge of Unix/Linux environments.Design experience with secure, multi-tier, multi-tenant, highly scalable and highly available web applicationsDesired:Knowledge of web security fundamentals.Experience programming with Java/J2EEExperience & knowledge in the mortgage/finance technologies.Experience with Amazon Web Services (AWS) and/or other cloud platforms.Experience working in a fast global team environment.Knowledge and experience working with crypto/encryption technologies.Enthusiasm for agile development and pair programmingEmail  resume to   salim (at)avestacs com",Posted 9 hours ago,2017-10-19 09:01:31 -0500,"","Ruby on Rails,  React/Angular/Vue,  HTML, CSS, JavaScript, Postgres/MySQL, AWS",marketTelecommuting not available
Ruby on Rails Engineer-Contract-CA,Avesta Computer Services,"San Francisco, CA","Our Client is a web and mobile service that simplifies and accelerates the home-buying experience. They provide step-by-step guidance in the home and loan closing process and allow agents, loan officers and home buyers to share and track critical information seamlessly. The secure interface improves client responsiveness and referrals for agents, reduces cycles for lenders, gives buyers real-time 24/7 visibility into every step of their loan applications, and prevents delays in the overall closing process. By accelerating and demystifying the home loan and closing process, and increasing the accountability of everyone involved in the process, Our Client helps agents and lenders increase deal flow and reduce risk while creating a better, faster, less stressful experience for people who are buying homes.Currently our client is looking to hire a Ruby on Rails Engineer on a Contract basis.Title : Ruby on Rails EngineerLocation : Sanfrancisco, CADuration : ContractRequired Skills:3 to 5 years of Ruby on Rails programming experienceEnthusiasm for agile development and pair programmingFamiliarity with front-end technologies (HTML, CSS, JS, CoffeeScript)Practical understanding of object oriented programming and data structuresCommitment to excellence, teamwork, and the professional growth of their peers",Posted 2 days ago,2017-10-19 09:01:32 -0500,"","Ruby on Rails programming ,HTML, CSS, JS, CoffeeScript.",Depends On ExperienceTelecommuting not available
Ruby on Rails Developer / ROR...,"Career Guidant, Inc","Modesto, CA","Please send me your updated reusmes at Syed.cgi1@gmail.comModesto, CA Webcam to hire  Job Summary:The Senior Developer of Data Integration and Integrity Job Description: Our client is looking for a Sr. Developer – Ruby, Ruby on Rails for a 3+ month project in Modesto, CA.Job Summary:The Senior Developer of Data Integration and Integrity is responsible for coordinating with other IT Application Teams to engineer solutions related to the architecture, design, development, enhancement, configuration and deployment of data-oriented integrations in support of corporate and operational departments with a focus on operative and strategic efficiencies. The Senior Developer, as part of the Data Integration and Integrity team, will serve as a “Data Integration Architect” for CLIENT’s enterprise systems, necessitating the ability to understand and navigate multiple isolated systems and identify opportunities for enterprise-wide solutions. In addition to the primary role of developing integrated solutions, this position will require the ability to communicate effectively with both IT and the business departments to ensure a full and comprehensive understanding of business processes, workflows and integrations needs.Key Responsibilities and Accountabilities:• Designs integrated software solutions based on business requirements to meet business needs.• Partners with IT Application Teams to improve business tools and processes with integrated data solutions that offer improved efficiencies to the business.• Leads and contributes to software solution discussions in a cross functional setting (business and IT).• Create change control documentation to implement new or modified programs.• Creates and executes unit and integration tests; leads and coordinates user acceptance testing.• The ability to work constructively and independently.• Understand and eliminate the impact of data fringe conditions.• Ensures data and system security is maintained while interacting with third parties.Requirements (Knowledge, Skills and Abilities):• Ability to complete all phases of software development life cycle including analysis, design, functionality, testing and support• Excellent analytical, planning and organization/time management skills• Ability to work on multiple projects with multiple deadlines• Proven ability to prioritize and meet milestones• Ability to communicate effectively (verbally and written) with business users of varying technical understanding and translate business needs into technical requirements• Ability to innovate and provide functional applications with intuitive interfaces• Experience building and maintaining mid- to large-scale web applications in modern N-tier applications frameworks; Ruby, Ruby on Rails, React and JavaScript experience is a plus• Intermediate database programming experience; including the ability to profile, identify and analyze performance bottlenecks• Experience developing and implementing systems interfaces, working with ESBs, building and interacting with APIs• Experience working with source control in a multi-contributor environment (Git, Mercurial, SVN, etc.), including understanding how to effectively utilize established workflows• Light understanding of web server administration (IIS, Apache, Unix)Education: Four-year college degree (or equivalent knowledge gained through formal education, specialized training, or additional job experience)Experience: Three years of related experienceCompetencies:• Customer Focus• Quality/Quantity of Work• Personal/Interpersonal Skills",Posted 1 day ago,2017-10-19 09:01:33 -0500,"","ruby developer, ruby on rails developer, ror developer, r2r developer, rails developer, ruby on rail developer, ruby on rails engineer, ruby on rails consultant, ruby engineer, ruby consultant",50Telecommuting not available
Senior React/Rails Engineer,G2i Inc,"San Francisco, CA","A YC Company (S17) is looking for an onsite React/Rails engineer in San Francisco. They are building a social polling app that integrates with Snapchat. Create a poll, attach it to your Story, and your friends vote in Snapchat. Voting is anonymous so you can bet on honest feedback from those you care about. They currently have 20+ million users and a founding team of only 3 engineers! They currently have apps for the web, iOS and Android. Besides excellent engineering ability and communication skills they are looking for an engineer who is super honest, will own their stuff, and is very driven. In addition, the best fit would have a good sense of design. If they hand you a sketch file you should be able to make it look right and also understand the basics of user experience. Creativity matters to the founding team. What drives them is to create new things and experiment. While they work in the social tech space and speed matters, they expect an engineer to work about 50 hours per week with weekends off. A note from the company: This is a unique opportunity to join a company with significant momentum in the social space. Your work will help define our company as it evolves, and touch on products that will be used by millions of people on a daily basis. We need product and design oriented engineers who enjoy working closely with our team to define and build products, are adept at building elegant solutions to complex data and scaling challenges, and prefer fast product-iteration cycles. Compensation$100K – $125K 1.0% – 3.0%  ResponsibilitiesBuild applications and services with a variety of languages including but not limited to Ruby and JavaScript Work closely with our cross-functional team consisting of our CTO, product managers, designers, and other engineers to define and build features, services, and APIs Own backend & infrastructure that can serve hundreds of thousands of concurrent usersRequirements4+ years of production engineering experience4+ years of experience with relational databases and SQL 4+ years of experience with one or more programming language: Ruby, Python, Javascript, etc.3+ years of experience with Ruby on Rails1+ year of experience with ReactExperience with AWSExperience building and scaling consumer products B.S. degree in Computer Science or equivalent practical experienceExcellent communication skills to collaborate with a service-oriented teamNice to Have'sExcitement about working with a social tech startupGood sense of designComfortable working in a fast paced agile environment",Posted 2 days ago,2017-10-19 09:01:34 -0500,"",React.js Ruby on Rails RDBMS SQL UI UX,$100k-$125k 1%-3%Telecommuting not available
Full Stack Rails Engineer -...,CyberCoders,"New York, NY","Minimum Required Skills:Ruby On Rails, PostgreSQL / MySQL, JavaScript Frameworks (Angular / React), AWS and/or HerokuIf you are a Ruby on Rails Engineer that is interested in working with massive amounts of data, please read on!Based in New York City, we are a leading analytics company measures the way media influences people to visit places.   Our analytics platform provides new insights into the way owned, paid and earned media exposures impact visitation from users.  We are working with massive amounts of data...a few BILLION DATA POINTS A DAY!!!!  Our proprietary platform is the first of its kind and we have zero competitors in our space.  Our clients include leading travel organizations such as Disney, TripAdvisor, VisitCalifornia.com, and many more.  This is a great opportunity to have a huge impact on a fast-growing team with huge potential.  We have offices in San Francisco and New York, so you will have the opportunity to visit both and work out of either location.  We are currently looking for a highly motivated, full-stack engineer who is interested in big data to build and ship our next generation online analytics platform. As a Full Stack Engineer, you will be responsible for building products that offer outstanding user experience to our end users, powered by one of the largest mobile location data sets in the industry.  If this sounds interesting to you, then apply ASAP!Top Reasons to Work with Us- Competitive Salary- Equity- Work with massive data that you won't find anywhere else!- Have a big impact in our product and companyWhat You Need for this Position- Ruby On Rails- PostgreSQL / MySQL- JavaScript Frameworks (Angular / React)- Heroku and/or AWS Huge bonus points for:- Visualization tools (D3.js / Highcharts)- Big Data experienceSo, if you are a Ruby on Rails Engineer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Posted 2 hours ago,2017-10-19 09:01:36 -0500,"","Ruby On Rails, PostgreSQL / MySQL, JavaScript Frameworks (Angular / React), AWS and/or Heroku - Ruby On Rails, PostgreSQL / MySQL, JavaScript Frameworks (Angular / React), AWS and/or Heroku",UnspecifiedTelecommuting not available
Full-Stack Engineer (Ruby on...,Beauty By Design Technologies,"Los Angeles, CA","Beauty By Design is leading the next wave of modern technology-led retail called prescriptive commerce - platforms that can prescribe the solution faster and more accurately using digital technology. We are a vertically integrated, branded, curated and personalized skincare platform that solves the well-known problem women have buying the right skincare products using a proprietary tech platform. This role is for an engineer who enjoys trailblazing and building new platforms, participating in product design, growth hacking, and getting in at the ground level. Our founders and initial investors come from high-flying eCommerce and retail businesses such as Dollar Shave Club, HauteLook, Target, Sephora, Guthy Renker, Zillow, eBay, and BCG Digital Ventures. No prior beauty experience or knowledge is required.Responsibilities:Design and implement high-performance, large-scale, and highly available distributed services.Follow-through from project inception through design to detailed completion. Iterate on solutions based on internal and external (customer) feedbackParticipate in design process, gathering requirements with other engineers and designersDefine and lead the adoptions of best practices and processes.Test driven development and continuous integration.Collaborate efficiently with CTOExperiment with new technologies to make sure we can scale for the futureSkills & requirements:BS in Computer Science, or equivalent industry experience4+ years professional software development experience with a standard Ruby on Rails stack (Rails, Postgres, ActiveAdmin, Redis, Sidekiq )Experience designing and implementing high performance, large scale systems.Comfortable working with internal client teams to spec out requirementsConfident in Test Driven Development (TDD) and profilingA passion for writing great code that is maintainable and standards-drivenMust be self-directed and be able to prioritize own workloadStrong grasp Computer Science fundamentals (Data Structures, Algorithms, etc...) Preferred Experience:Experience with React/Redux or similar front-end frameworks.Telephony apps built on Twilio or similar services.Fluency with the Heroku platform or similar services.",Posted 6 days ago,2017-10-19 09:01:37 -0500,"","Ruby, Ruby on Rails, JavaScript","90,000-100,000Telecommuting not available"
Ruby on Rails Software Engineer...,Ingram Content Group,"San Francisco, CA","3784BR Ruby on Rails Software Engineer (Verba) San Francisco California  United States  Job Description  Verba is currently recruiting for a  Software Engineer  to join our team. As a    Software Engineer, Intermediate    for our   Verba team in San Francisco, you would work in a beautiful exposed-brick office two blocks west of Union Square in downtown San Francisco.  We are a small, open and friendly company.  We currently use Ruby, Javascript, ES6 and Coffeescript, and layer on Rails, React, Backbone, Node, MySQL, AWS, and Chef, but we’re always open to using the best technology.    What We Offer:      An opportunity to be part of dynamic, continually growing company and culture where your contributions make a real difference and new ideas are always welcome .       Amazingly smart and dedicated team at Verba.      A competitive compensation package with generous benefits.      The best office and culture with talent to match.      Verba, from its inception, cares passionately about lowering the cost of course materials, and it's central to our business objectives with VitalSource.     Cutting edge digital open source technology stacks and high volume global transactions that have a massive positive impact on students, classrooms, and institutions of higher learning      Organizational stability, career support, and enterprise level infrastructure support from     Ingram Content Group    , the world's largest and most trusted distributor of physical and digital content.      Main Responsibilities for Success:      Expand existing software     Develop new software products from the ground up, staying true to our company’s core values and needs while lending your own creativity to the mix.     Focus on creating fault-tolerant programming.     Create scalable, automated solutions.     Work directly with support to solve customer problems.     Write tests for existing and new code.      Verba    tackles textbook affordability through radical transparency. Our products have been transforming the college textbook industry for years, and we’re about to make the biggest changes yet.  Verba works with more than 350 colleges and universities of all sizes to reach over 3.1 million students each term, with software for students, professors and bookstores. Our success means we need to grow and we’re looking for talented employees.  VitalSource    is a leading educational technology company and the preferred choice among higher education institutions, faculty, and publishers. VitalSource has delivered compelling digital content to more than 12 million students in 200 countries and territories worldwide, and we have more than 1 million titles available in distribution from more than 1,000 education publishers. For more information about VitalSource, visit   www.vitalsource.com  . VitalSource is an Ingram Content Group Company.       Minimum Qualifications    We would like our talented associate for this role to have at least these minimum skills & experience:       Bachelor’s degree OR directly related year for year experience     4 years of Ruby on Rails experience     Experience with TDD or BDD     Working knowledge of SQL, HTML5   Preferred Qualifications    We’ll be excited to hear if you also have the following experience:       Experience with pair programming     Experience with React     Extensive experience with Javascript, ES6 or other programming languages",Posted 3 hours ago,2017-10-19 09:01:38 -0500,"","Automated, BIND, HTML, HTTP, JavaScript, Materials, MySQL, mysql, Programming, Ruby, Software Engineer, SQL, TDD",Telecommuting not available
Senior Software Developer (Ruby on...,"Arthrex, Inc.","Naples, FL","Requisition ID:			37288 Title:			Software Developer Sr SOS/Rails Division:			Arthrex, Inc. (US01) Location:			INC- Naples, FL (US08)  Rails Senior DeveloperWe are looking for a talented and passionate Senior Full Stack Developerwho wants to make an impact in the medical space. We developed one of the largest orthopedic registries (Surgical Outcomes System:https://surgicaloutcomesystem.com/)for monitoring patient outcomes and are currently looking for an experienced developer who will help us take the system to the next level. Surgical Outcomes System (SOS) enables surgeons to easily collect and analyze patient outcomes and procedures to address the demands of evidence-based medicine. SOS engages patients in their own health care through the use of automated surveys, video links, images, reminders, and alerts and by doing so contributes to increased patient satisfaction and better outcomes.SOS leverages Ruby on Rails, React, Docker, AWS and other tools but we are always evaluating new technologies and patterns that can have a positive impact on our products. Our ideal candidate has experience with Ruby on Rails, embraces testing, and is willing to learn and adapt to new technologies. Experience with continuous integration is preferred.Quality is of utmost importance to Arthrex and should therefore be important to applicants. Our software developers follow coding best practices, champion standards, and always push themselves and others for continuous improvement in everything they do. We are looking for a true team player who likes to work in a co-located team environment where cross-functional collaboration is highly valued. We invest in our team members and provide an environment where everyone feels challenged and can grow professionally. We are looking for professionals who are ready to have a long-term career perspective, feel fulfilled by the work they are doing, and contribute to our mission of Helping Surgeons Treat Their Patients Better.About You:Passionate about software development	Follow coding best practices, champion standards, and always strive for continuous improvement in everything you do	Motivated, love to learn, and thrive in a dynamic environment	Have a track record of building applications and bringing them to production	Looking to join a company that will invest in your professional growth	Atrue team player who likes to work in a co-located team environment where cross-functional collaboration is highly valued		About Us:	Arthrex is a global medical device company and a leader in new product development and medical education in orthopedics. We value quality and invest in our employees by offering a competitive benefits package including a great work-life balance and opportunities for continuing education through training and conferences. Arthrex is located in Naples, Florida which has great weather year-round and no state income tax!  ____________________________________________________________________________________________________________________________________________________Main Objective: Develop, support, and maintain high-end and innovative software applications that support Arthrexs mission of helping surgeons treat their patients better. Write high-quality, reliable, and maintainable code and collaborate in a cross-functional team environment.Essential Duties and Responsibilities:Actively participates in software application development. Translates abstract requirements into functional code to meet intended objectives and key results. Shows initiative and pro-actively implements application improvements and updates.	Maintains and enhances existing applications. Effectively diagnoses and resolves application issues.	Deals with all aspects of the technology stack from client side programming to configuring servers and running applications.	Monitors applications for abnormalities and looks for areas to improve application availability and speed.	Deploys code changes to different environments in a safe and reliable manner.	Conducts code reviews, provides feedback, and suggests changes as needed.	Assesses new technologies, programming languages, and software. Presents findings and recommendations to both the team and business.	Works effectively with the UX, QA and Product Management teams during all stages of application development (ideation, design, build, test, and release).	Communicates effectively with customers and project stakeholders.	Occasional travel for training, meetings or trade shows may be required. Incidental Duties:The above statements describe the general nature and level of work being performed in this job. They are not intended to be an exhaustive list of all duties, and indeed additional responsibilities may be assigned, as required, by management.Education and Experience: Bachelors degree in Computer Science or related field preferred. 7+ years of hands-on experience developing web/mobile applications that are used in a production environment. Experience writing robust, pragmatic code following design patterns/anti-patterns.Knowledge and Skill Requirements/Specialized Courses and/or Training:Advanced experience developing and supporting web and/or mobile applications using programming/scripting languages such as Ruby, Objective-C, Go, Python or Java.	Advanced experience developing applications using a framework such as Ruby on Rails or MVC on iOS.	In-depth understanding of modern web development techniques and standards including JavaScript, responsive web design, and front end development frameworks. Knowledge of React and AngularJS is a plus.	iOS, Swift, Objective-C, and UIKit development skills are a plus.	Android and Java development skills are a plus.	Advanced understanding of relational database design. Experience with NoSQL data stores is a plus. Must be able to write SQL queries and understand database concepts such as stored procedures, views and triggers.	Experience working with web services. Knowledge of or experience with micro-services or service-oriented architecture a plus.	Knowledge of application security and identity management solutions such as OAuth, certificates and encryption.	Experience with performance tuning tools (e.g. Instruments for iOS, Chrome Web Tools, etc.).	Knowledgeable about web standards, W3C specifications, and cross-browser/cross-platform/cross-device compatibility.	Advanced experience with distributed version control systems such as Git.	Ability to work effectively with little supervision and strong attention to detail in a team environment.	Ability to work on multiple projects at the same time.	Individual must be highly motivated and self-directed.	Excellent written and verbal communication skills.	Experience with Agile development methodologies.	Familiarity with continuous integration.	Knowledge of or willingness to learn Ruby, Objective C, Go, Swift, Java or any language/technology required by the project. Machine, Tools, and/or Equipment Skills:Experience working with code editors and team collaboration software. Individual must feel comfortable using the command line. Experience with Mac OS X is a plus. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",Posted 2 hours ago,2017-10-19 09:01:39 -0500,"","",-Telecommuting not available
Ruby on Rails Developer,LabCentrix LLC,"Boston, MA","Company Introduction:LabCentrix is an informatics and consulting company that recently released the first version of its product stemTrak, a data management system specifically designed for Blood and Marrow Transplant (BMT) Programs and researchers and developers of Cell & Gene Therapies. Our stemTrak application is being further developed to meet the needs of users in the ever expanding cellular therapy and regenerative medicine markets. Our solutions empower program managers, physicians, health care professionals, researchers and data managers to easily access critical data in an intuitive user-friendly interface. They provide flexibility and configurability while being fully compliant with all Health Information Privacy rules and regulatory requirements established by the FDA. We have a profound knowledge of technology, patient care practices, and implementing software solutions in regulatory environments. Using this knowledge, LabCentrix works with its clients to implement solutions that meet their requirements while exceeding their expectations. High Level Job Description:We are looking for a Ruby on Rails developer to help us build the next, versions of stemTrak and other solutions. The development activities include full-stack development of improvements and enhancements to the existing stemTrak application. Your primary responsibility will be to design and develop additions to this application and to coordinate with the rest of the team working on different layers of the infrastructure. Thus, a commitment to collaborative problem solving, sophisticated design, and building quality software is essential. Ruby on Rails developers are responsible for successfully delivering high-quality software solutions to the LabCentrix customer base. Responsibilities include development, implementation and unit testing. Developers are expected to continuously develop technical and leadership skills of an increasingly complex nature. Developers are expected to foster and maintain successful relationships with LabCentrix customers and internal team members. **Excellent Benefits! Experience Required:2-4 years of experience in programming in Ruby on RailsA minimum of 3 years of experience in programming in one or more of the following languages:      Ruby on RailsC++.NET FrameworkPython Responsibilities:Design, build, and maintain efficient, robust, reusable, and reliable Ruby and jQuery code.Ensure the best possible performance, quality and responsiveness of the applicationIdentify bottlenecks and bugs, and devise solutions to these problemsHelp maintain code quality, organization and automationFollow LabCentrix application development processes and proceduresSupport Requirements gathering activitiesActively participate in and support solution deploymentConfiguration and development of LabCentrix applicationsSoftware unit testing as per the development procedures and processes of LabCentrixGenerate documentation as required to meet standard guidelinesConvey complex technical solutions properly to the targeted audiencePeriodically deliver technical training internally and to the LabCentrix customer baseMaintain successful relationships with LabCentrix customers and internal resources Desired Technical Skills:Good understanding of the syntax of Ruby and its nuancesSolid understanding of object-oriented programmingUnderstanding of functional programming style in RubyFamiliarity with concepts of MVC, MVVM, ORM and RESTfulExperience with rails web application frameworksKnack for writing clean, readable Ruby code with sufficient commenting to explain routinesExperience with both external and embedded databasesUnderstanding of fundamental design principles behind scalable applicationsAble to create database schemas that represent and support business processesImplementation of automated testing platforms and unit testProficient understanding of code versioning tools (eg. Git, SVN)Familiarity with development aiding tools (such as Bower, Bundler, Rake, etc)Familiarity with continuous integrationFamiliarity with frameworks, libraries and other technologies such as Ruby, Rails, jQuery, and Kendo UIUnderstanding of Relational Databases and SQLUser Interface (UI) design experienceApplication usability expertiseCurrent knowledge of computer and communications technology, concepts and operationAbility to produce high quality program code to specificationAbility to summarize code so that others can understand its purpose and function Desired Attributes:Customer focusedAttention to detail with respect to code efficiency and user experience (UX)Self-starter, result oriented, proactive.Creative thinker dedicated to problem solvingExcellent written and verbal communication skillsStrong problem analysis and problem solving skills.Work effectively in a team environment.Ability to organize and prioritize tasks.Knowledge of computer regulatory compliance and computer systems validation.Cascading Style Sheets (CSS), HTML, HTML5, PHP, XML, SQL, MySQL",Posted 8 hours ago,2017-10-19 09:01:41 -0500,"","ROR, Ruby on Rails",Depends On ExperienceTelecommuting not available
Ruby on Rails Developer,LabCentrix LLC,"Boston, MA","Company Introduction: LabCentrix is an informatics and consulting company that recently released the first version of its product stemTrak, a data management system specifically designed for Blood and Marrow Transplant (BMT) Programs and researchers and developers of Cell & Gene Therapies. Our stemTrak application is being further developed to meet the needs of users in the ever expanding cellular therapy and regenerative medicine markets. We have a profound knowledge of technology, patient care practices, and implementing software solutions in regulatory environments.  Experience Required:2-4 years of experience in programming in Ruby on RailsA minimum of 3 years of experience in programming in one or more of the following languages:  Ruby on Rails, C++, .Net Framework, Pythong  Responsibilities: Design, build, and maintain efficient, robust, reusable, and reliable Ruby and jQuery code.  Ensure the best possible performance, quality and responsiveness of the application.  Identify bottlenecks and bugs, and devise solutions to these problems.  Help maintain code quality, organization and automation.  Follow LabCentrix application development processes and procedures.  Support Requirements gathering activities.  Actively participate in and support solution deployment.  Configuration and development of LabCentrix applications.  Software unit testing as per the development procedures and processes of LabCentrix.Generate documentation as required to meet standard guidelines.  Convey complex technical solutions properly to the targeted audience.  Periodically deliver technical training internally and to the LabCentrix customer base.  Maintain successful relationships with LabCentrix customers and internal resources ***Excellent benefits and great opportunity for the right candidate!  ",Posted 9 hours ago,2017-10-19 09:01:42 -0500,"","Ruby on Rails, Developer, .Net, C++",Depends On ExperienceTelecommuting not available
